"OmittedPath","KeptPath","Bytes","SHA256"
"单片机课程设计2/水塔控制/test_uvproj.bak","单片机课程设计/基于单片机的跳舞机器人/跳舞机器人.c","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"单片机课程设计/光敏小夜灯/PCB_Project1.Annotation","单片机课程设计/基于单片机的跳舞机器人/跳舞机器人.c","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"单片机课程设计/基于STM32数码管显示电压表设计/keilkilll.bat","单片机课程设计3/循迹小车/keilkilll.bat","399","77C33184DD517BD3EB31C9E54B96F2810E70ECC9CAFEDB0487E3CD1E666E5A83"
"单片机课程设计3/语音计算器全部资料/仿真图里没有语音那个模块，PCB里是有的.txt","单片机课程设计/基于单片机的跳舞机器人/跳舞机器人.c","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"单片机课程设计2/51单片机230个Proteus仿真实例/51单片机230个Proteus仿真实例.rar","单片机课程设计/单片机Protues仿真/51单片机230个Proteus仿真实例.rar","3042663","B01815BD3A3C706969972FD5F2B73C24470589888C533E21C31AAFD0E1680C0F"
"单片机课程设计/基于单片机的推箱子小游戏设计/Cargador.pdsprj.LAPTOP-EVD1PM96.万佳.workspace","单片机课程设计/多功能电子钟/多功能的电子钟.pdsprj.LAPTOP-EVD1PM96.万佳.workspace","328","B015C941C3FDB6A48ADB9CDA768295E27E9799A75E64D240872A41597952AC64"
"单片机课程设计/基于单片机的大棚温控系统/DS18B20温度传感器实验.pdsprj.DESKTOP-13JHUF1.2000601.workspace","单片机课程设计/计算器/打字机.pdsprj.DESKTOP-13JHUF1.2000601.workspace","328","7C0C37324A21125BFAD38B8093CF7CAB382BD7A70C1DE14B26D2D0A97D3576A5"
"单片机课程设计3/循迹小车/循迹小车/循迹.PWI","单片机课程设计3/循迹小车/循迹.PWI","766","75E4AF60155BCDE2D86B20C86EBD55E68076DC5911AE8924BFF329383FAAB81D"
"单片机课程设计3/里程表/程序/自动车码表 2.plg","单片机课程设计/基于单片机的跳舞机器人/跳舞机器人.c","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"单片机课程设计3/循迹小车/循迹小车/循迹.pdsprj","单片机课程设计3/循迹小车/循迹.pdsprj","25008","BA0DA4276788BC3412DFF1E7D287D58A0F324340CAD2CFFCF180CDC7AE27DDF9"
"单片机课程设计3/循迹小车/循迹小车（修改）/循迹.PWI","单片机课程设计3/循迹小车/循迹.PWI","766","75E4AF60155BCDE2D86B20C86EBD55E68076DC5911AE8924BFF329383FAAB81D"
"单片机课程设计/点阵屏/程序/1616_uvproj.bak","单片机课程设计/基于单片机的跳舞机器人/跳舞机器人.c","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"单片机课程设计3/里程表/程序/666_uvproj.bak","单片机课程设计/基于单片机的跳舞机器人/跳舞机器人.c","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"单片机课程设计/计算器与万年历/源程序/STARTUP.A51","单片机课程设计3/里程表/程序/STARTUP.A51","6376","0298D03E409C9ECB60DA335AEC3D7A3EEE98762C3EFD9DD12EAB7612C7104011"
"单片机课程设计/多功能电子钟/一体化程序/STARTUP.A51","单片机课程设计3/里程表/程序/STARTUP.A51","6376","0298D03E409C9ECB60DA335AEC3D7A3EEE98762C3EFD9DD12EAB7612C7104011"
"单片机课程设计3/里程表/程序/NIHAO_uvproj.bak","单片机课程设计/基于单片机的跳舞机器人/跳舞机器人.c","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
